geom;Адрес;Провайдер;Скорость;Примечание;Наименование;Признак;Буферная зона
"POINT (30.126164 59.560653)";"г. Гатчина, ул. Карла Маркса, д. 22 (Театральная площадь)";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Театральная площадь;Общественное пространство;30
"POINT (30.09192 59.55862)";"г. Гатчина, ул. Слепнева, д. 13/3 (Площадь Богданова)";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Площадь Богданов;Общественное пространство;30
"POINT (30.120574 59.577092)";"г. Гатчина, ул. Коли Подрядчикова, д. 9 (Бульвар Науки)";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Бульвар Науки;Общественное пространство;30
"POINT (30.12791 59.565307)";"г. Гатчина, ул. Соборная, д. 20 (Пешеходная зона)";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Пешеходная зона;Общественное пространство;30
"POINT (30.095413 59.562901)";"г. Гатчина, Генерала Кныша, д. 8А (Скейт парк)";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Скейт парк;Общественное пространство;30
"POINT (30.120382 59.564239)";"г. Гатчина, Гатчинский дворик";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Гатчинский дворик;Общественное пространство;30
"POINT (30.118612 59.564424)";"г. Гатчина, пр. 25-го октября, 3, остановка – улица Чкалова";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Чкалова;Остановки общ.транспорта;30
"POINT (30.119872 59.566357)";"г. Гатчина, пр. 25-го октября, 2к1, остановка – Соборная улица/Парк";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Парк;Остановки общ.транспорта;30
"POINT (30.121384 59.567654)";"г. Гатчина, пр. 25-го октября, 17, остановка Стадион Спартак";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Спартак;Остановки общ.транспорта;30
"POINT (30.121222 59.567968)";"г. Гатчина, пр. 25-го октября, 6, остановка – Стадион Спартак";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Спартак;Остановки общ.транспорта;30
"POINT (30.125035 59.572358)";"г. Гатчина, пр. 25-го октября, 34, остановка – Кирха";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Кирха;Остановки общ.транспорта;30
"POINT (30.126698 59.573478)";"г. Гатчина, пр. 25-го октября, 47, остановка – пр. 25-го октября, 47";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"47";Остановки общ.транспорта;30
"POINT (30.128917 59.575036)";"г. Гатчина, пр. 25-го октября, 42Б, остановка – улица 7 Армии";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);7-й Армии;Остановки общ.транспорта;30
"POINT (30.134665 59.578055)";"г. Гатчина, пр. 25-го октября, 46, остановка – Гатчина – Въезд";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Въезд;Остановки общ.транспорта;30
"POINT (30.136198 59.578569)";"г. Гатчина, пр. 25-го октября, 63, остановка – Гатчина – Въезд";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Въезд;Остановки общ.транспорта;30
"MULTIPOINT ((30.141309 59.583205))";"г. Гатчина, Ленинградское ш-се,12 остановка – ТЦ Окей";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);ТЦ Окей;Остановки общ.транспорта;30
